M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
104,7,23,0.009880000000000005,0.00328
104,7,24,0.013000000000000006,0.00252
104,7,25,0.017080000000000012,0.0016800000000000003
104,7,26,0.02288000000000001,0.00168
104,7,27,0.026400000000000014,0.0010400000000000001
104,7,28,0.02976000000000002,0.0008800000000000002
104,7,29,0.039080000000000024,0.00043999999999999996
104,7,30,0.04636000000000001,0.0005600000000000001
104,7,31,0.05491999999999999,0.0004
104,7,32,0.06215999999999999,0.0002
104,7,33,0.07944,0.0004
104,7,34,0.09420000000000002,0.00016
104,7,35,0.10228,0.00012
104,7,36,0.12183999999999998,0.00012
104,7,37,0.13648,8e-05
104,7,38,0.15824000000000005,8e-05
104,7,39,0.1698,8e-05
104,7,40,0.19820000000000004,8e-05
104,7,41,0.2255999999999999,4e-05
104,7,42,0.24996000000000002,8e-05
104,7,43,0.27540000000000003,4e-05
104,7,44,0.30576000000000003,4e-05
104,7,45,0.33820000000000006,0.0
104,7,46,0.36508000000000007,0.0
104,7,47,0.4063999999999999,4e-05
104,7,48,0.43392000000000025,0.0
104,7,49,0.46699999999999997,0.0
104,7,50,0.50364,0.0
104,7,51,0.5396399999999999,0.0
104,9,0,0.0,0.9218
104,9,1,0.0,0.8669599999999998
104,9,2,4e-05,0.8001599999999999
104,9,3,0.0,0.7153999999999999
104,9,4,4e-05,0.6184799999999999
104,9,5,4e-05,0.5232
104,9,6,8e-05,0.42104000000000014
104,9,7,0.00024,0.32976000000000005
104,9,8,0.00016,0.25008
104,9,9,8e-05,0.18960000000000002
104,9,10,0.00012,0.13608
104,9,11,0.00036,0.09832
104,9,12,0.00032,0.0738
104,9,13,0.0008400000000000001,0.049919999999999985
104,9,14,0.0013200000000000004,0.03496000000000002
104,9,15,0.0019200000000000007,0.027440000000000016
104,9,16,0.002160000000000001,0.01876000000000001
104,9,17,0.0028800000000000015,0.012560000000000005
104,9,18,0.004080000000000001,0.009040000000000003
104,9,19,0.004880000000000001,0.006800000000000001
104,9,20,0.0066400000000000035,0.005760000000000002
104,9,21,0.008280000000000004,0.004360000000000002
104,9,22,0.009640000000000004,0.0024000000000000007
104,9,23,0.015360000000000009,0.00184
104,9,24,0.01860000000000001,0.00196
104,9,25,0.023680000000000014,0.0015600000000000002
104,9,26,0.02604000000000001,0.0008000000000000001
104,9,27,0.03140000000000001,0.00068
104,9,28,0.040120000000000024,0.00048
104,9,29,0.04636000000000001,0.0005200000000000001
104,9,30,0.05672,0.0004
104,9,31,0.06627999999999998,0.00028000000000000003
104,9,32,0.08076,8e-05
104,9,33,0.09508,0.00012
104,9,34,0.10912,4e-05
104,9,35,0.12684000000000004,8e-05
104,9,36,0.14772000000000002,0.00012
104,9,37,0.16379999999999995,0.0
104,9,38,0.1882,4e-05
104,9,39,0.20864000000000005,0.0
104,9,40,0.23620000000000005,0.0
104,9,41,0.266,0.0
104,9,42,0.29812000000000005,0.0
104,9,43,0.3255600000000001,0.0
104,9,44,0.35931999999999986,0.0
104,9,45,0.3890799999999999,0.0
104,9,46,0.4300799999999998,0.0
104,9,47,0.4648399999999999,0.0
104,9,48,0.50024,0.0
104,9,49,0.5267999999999998,0.0
104,9,50,0.5638400000000001,0.0
104,9,51,0.6008799999999999,0.0
104,11,0,0.0,0.9230799999999998
104,11,1,0.0,0.8757599999999996
104,11,2,0.0,0.8014799999999999
104,11,3,0.0,0.7136799999999998
104,11,4,0.0,0.6208400000000001
104,11,5,0.0,0.51824
104,11,6,0.0,0.4215200000000002
104,11,7,0.00012,0.33476000000000006
104,11,8,0.00012,0.2542800000000001
104,11,9,4e-05,0.19700000000000004
104,11,10,0.00012,0.14736
104,11,11,0.0004000000000000001,0.10668
104,11,12,0.0008000000000000003,0.08171999999999999
104,11,13,0.0007600000000000003,0.05871999999999999
104,11,14,0.0008000000000000001,0.04120000000000002
104,11,15,0.0012800000000000003,0.03188000000000001
104,11,16,0.0020800000000000007,0.02120000000000001
104,11,17,0.0031200000000000017,0.01868000000000001
104,11,18,0.0035600000000000015,0.012680000000000004
104,11,19,0.004400000000000002,0.007480000000000002
104,11,20,0.006840000000000002,0.0065200000000000015
104,11,21,0.009760000000000007,0.004400000000000001
104,11,22,0.012560000000000005,0.0031200000000000004
104,11,23,0.015000000000000006,0.0027200000000000015
104,11,24,0.01852000000000001,0.0016000000000000003
104,11,25,0.025440000000000015,0.001
104,11,26,0.03064000000000001,0.0015200000000000003
104,11,27,0.03764000000000002,0.0008800000000000001
104,11,28,0.04576,0.00048
104,11,29,0.05496,0.0004
104,11,30,0.06963999999999998,0.0002
104,11,31,0.07919999999999999,0.00028000000000000003
104,11,32,0.09540000000000001,0.00012
104,11,33,0.11064,0.00012
104,11,34,0.12264000000000001,0.0
104,11,35,0.14512000000000003,0.0
104,11,36,0.16856000000000002,0.0
104,11,37,0.191,0.0
104,11,38,0.21716000000000002,0.0
104,11,39,0.24244000000000007,0.0
104,11,40,0.26888,0.0
104,11,41,0.30204000000000003,0.0
104,11,42,0.32891999999999993,0.0
104,11,43,0.35623999999999995,0.0
104,11,44,0.3959200000000001,0.0
104,11,45,0.43535999999999997,0.0
104,11,46,0.46527999999999975,0.0
104,11,47,0.50224,0.0
104,11,48,0.5427999999999998,0.0
104,11,49,0.574,0.0
104,11,50,0.6160000000000001,0.0
104,11,51,0.6464799999999999,0.0
104,13,0,0.0,0.8978800000000002
104,13,1,8e-05,0.8322799999999999
104,13,2,4e-05,0.73992
104,13,3,8e-05,0.6404400000000001
104,13,4,4e-05,0.5318399999999999
104,13,5,0.00016,0.43392
104,13,6,0.00012,0.33956000000000003
104,13,7,0.0002,0.25476000000000004
104,13,8,0.0002,0.18944000000000003
104,13,9,0.00044000000000000007,0.13519999999999993
104,13,10,0.0005200000000000001,0.09423999999999998
104,13,11,0.00072,0.06955999999999998
104,13,12,0.0008000000000000005,0.04856000000000003
104,13,13,0.0012400000000000004,0.034680000000000016
104,13,14,0.0021200000000000004,0.023800000000000012
104,13,15,0.0022000000000000006,0.016080000000000007
104,13,16,0.002880000000000001,0.012520000000000007
104,13,17,0.005600000000000002,0.007960000000000002
104,13,18,0.006000000000000003,0.005880000000000001
104,13,19,0.008000000000000004,0.003880000000000001
104,13,20,0.012120000000000006,0.003480000000000002
104,13,21,0.015400000000000007,0.0020000000000000005
104,13,22,0.017720000000000007,0.0017200000000000004
104,13,23,0.022000000000000016,0.0012000000000000003
104,13,24,0.027320000000000014,0.0011200000000000003
104,13,25,0.03332000000000002,0.0008
104,13,26,0.038400000000000024,0.0006400000000000002
104,13,27,0.04692000000000001,0.00032
104,13,28,0.05583999999999999,0.00024
104,13,29,0.06872,0.00024
104,13,30,0.07931999999999997,0.00016
104,13,31,0.09623999999999996,0.0002
104,13,32,0.11028000000000002,8e-05
104,13,33,0.124,0.0
104,13,34,0.14768,8e-05
104,13,35,0.16436,4e-05
104,13,36,0.19460000000000005,0.0
104,13,37,0.21820000000000006,0.0
104,13,38,0.2429199999999999,0.0
104,13,39,0.27403999999999995,0.0
104,13,40,0.30772,0.0
104,13,41,0.33848,0.0
104,13,42,0.37928000000000006,0.0
104,13,43,0.4104799999999998,0.0
104,13,44,0.44724,0.0
104,13,45,0.49491999999999997,0.0
104,13,46,0.5233599999999999,0.0
104,13,47,0.5689599999999999,0.0
104,13,48,0.5976,0.0
104,13,49,0.6423200000000001,0.0
104,13,50,0.67892,0.0
104,13,51,0.7082400000000001,0.0
