M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed),FP (Theoretical),FN (Theoretical)
96,3,3,0.0,0.8477333333333334,1.571287014999768e-06,0.9890736780423117
96,3,4,6.666666666666667e-05,0.7853999999999999,2.032575210769494e-06,0.9877560872166827
96,3,5,0.0,0.7154,2.1245417906997635e-06,0.9859028269319016
96,3,6,0.0,0.6437333333333333,2.413744419218735e-06,0.9840135692564459
96,3,7,6.666666666666667e-05,0.5618,4.169531394450853e-06,0.9818924232194117
96,3,8,6.666666666666667e-05,0.4843999999999999,4.226144742034285e-06,0.9795151001950783
96,3,9,0.0002666666666666667,0.4181333333333334,4.431749135592078e-06,0.9775511433068095
96,3,10,0.0002666666666666667,0.34413333333333335,6.398632646470548e-06,0.9741236649158896
96,3,11,0.0002666666666666667,0.281,6.705177975436176e-06,0.9712429190037813
96,3,12,0.0004,0.2303333333333334,9.011954592708712e-06,0.967837675234156
96,3,13,0.0008666666666666667,0.1842,1.2538090526507452e-05,0.9639231062378837
96,3,14,0.001466666666666667,0.1478,1.1851061231911364e-05,0.9600781094885901
96,3,15,0.001666666666666667,0.1145333333333333,1.3935901628709071e-05,0.9549075153548896
96,3,16,0.0026000000000000003,0.08826666666666665,1.9630269613203687e-05,0.9495338595152333
96,3,17,0.0022,0.06753333333333335,2.4383081779358672e-05,0.9442936299495829
96,3,18,0.003666666666666667,0.049200000000000015,2.41289223063846e-05,0.938117528958562
96,3,19,0.0048666666666666684,0.03733333333333334,3.319828196621523e-05,0.9321118099761929
96,3,20,0.004533333333333334,0.025466666666666676,4.053326006348154e-05,0.9241770446388742
96,3,21,0.007800000000000001,0.020600000000000007,4.5279278212981995e-05,0.9157601793738169
96,3,22,0.009333333333333334,0.014533333333333339,6.271518167474606e-05,0.9086497505995071
96,3,23,0.011266666666666671,0.010000000000000004,6.689266920049792e-05,0.8989716778242136
96,3,24,0.01366666666666667,0.00846666666666667,7.744038789064677e-05,0.8888547878568445
96,3,25,0.01646666666666667,0.006066666666666668,0.0001153694843830201,0.878513836358426
96,3,26,0.018333333333333337,0.004466666666666668,0.00011321201203736413,0.865912288354451
96,3,27,0.02340000000000001,0.0032000000000000006,0.00013472987937737454,0.8559047342510628
96,3,28,0.02900000000000001,0.0027333333333333346,0.00016868054368439903,0.8415967954494217
96,3,29,0.034000000000000016,0.0020666666666666667,0.00020204777720666135,0.8286542021419149
96,3,30,0.04446666666666668,0.0019333333333333336,0.00022231272699969854,0.8109784356702969
96,3,31,0.04886666666666669,0.0011333333333333334,0.00028128908208840036,0.7965386824646882
96,3,32,0.05740000000000003,0.0006666666666666668,0.0003299856317448227,0.7807405263129632
96,3,33,0.06800000000000003,0.0008666666666666667,0.00039177657497246627,0.7624487050850779
96,3,34,0.08326666666666667,0.0005333333333333334,0.0004666959946135212,0.7418878741156187
96,3,35,0.09573333333333332,0.00046666666666666666,0.0005732165137814881,0.7221897738058085
96,3,36,0.11126666666666668,0.0004,0.0006369113299256847,0.7053357838021086
96,3,37,0.1252,6.666666666666667e-05,0.0007752961598199596,0.6837160258443135
96,3,38,0.14986666666666668,0.00013333333333333334,0.0008989123486627794,0.6592547132362098
96,3,39,0.1709333333333333,0.0,0.0011757136250251034,0.6329395098593525
96,3,40,0.19773333333333332,6.666666666666667e-05,0.0013370330406146844,0.6121489381091223
96,3,41,0.2117333333333333,0.0,0.0015326849969854043,0.5872546249698488
96,3,42,0.24733333333333335,0.0,0.0018002201102241802,0.5626937557148417
96,3,43,0.27019999999999994,0.0,0.0022785585838721355,0.5354503081618902
96,3,44,0.29973333333333324,0.0,0.0026297894857559745,0.5078803629923447
96,3,45,0.32680000000000003,0.0,0.0030978947027589503,0.48292540077556423
96,3,46,0.35159999999999986,0.0,0.00358268131207133,0.4584870558328388
96,3,47,0.3900666666666667,0.0,0.004317805074121775,0.43340964678812655
96,5,0,0.0,0.9391333333333333,7.796540150048922e-07,0.9868849818023356
96,5,1,0.0,0.8924,9.877892893941489e-07,0.9850554842741996
96,5,2,6.666666666666667e-05,0.8246666666666669,9.938433220683479e-07,0.9829777922814806
