M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
88,1,35,0.0,0.9478799999999995
88,1,36,0.0,0.9420399999999998
88,1,37,0.0,0.9323199999999998
88,1,38,0.0,0.92212
88,1,39,0.0,0.9129199999999998
88,1,40,0.0,0.9016
88,1,41,0.0,0.88432
88,1,42,0.0,0.8734000000000001
88,1,43,0.0,0.8623199999999999
88,3,0,0.0,1.0
88,3,1,0.0,1.0
88,3,2,0.0,1.0
88,3,3,0.0,1.0
88,3,4,0.0,1.0
88,3,5,0.0,0.99988
88,3,6,0.0,0.9999199999999999
88,3,7,0.0,0.99996
88,3,8,0.0,0.99996
88,3,9,0.0,0.99976
88,3,10,0.0,0.99972
88,3,11,0.0,0.9994799999999999
88,3,12,0.0,0.9991599999999999
88,3,13,0.0,0.9990799999999997
88,3,14,0.0,0.9981200000000001
88,3,15,0.0,0.9978800000000001
88,3,16,0.0,0.9968399999999998
88,3,17,0.0,0.9965999999999998
88,3,18,0.0,0.9944000000000002
88,3,19,0.0,0.9927199999999996
88,3,20,0.0,0.9897999999999999
88,3,21,0.0,0.9864800000000001
88,3,22,0.0,0.9825200000000001
88,3,23,0.0,0.9788399999999997
88,3,24,0.0,0.9732400000000001
88,3,25,0.0,0.9668399999999999
88,3,26,0.0,0.9611200000000004
88,3,27,0.0,0.95152
88,3,28,0.0,0.94104
88,3,29,0.0,0.9328000000000002
88,3,30,0.0,0.9201600000000001
88,3,31,0.0,0.90504
88,3,32,0.0,0.8907999999999998
88,3,33,0.0,0.8694000000000003
88,3,34,0.0,0.85344
88,3,35,0.0,0.8324399999999997
88,3,36,0.0,0.8094
88,3,37,0.0,0.7884399999999998
88,3,38,0.0,0.76464
88,3,39,0.0,0.7391200000000001
88,3,40,0.0,0.7088
88,3,41,0.0,0.6828
88,3,42,0.0,0.65144
88,3,43,0.0,0.6268400000000001
88,5,0,0.0,1.0
88,5,1,0.0,1.0
88,5,2,0.0,1.0
88,5,3,0.0,0.9999600000000001
88,5,4,0.0,0.9999600000000001
88,5,5,0.0,1.0
88,5,6,0.0,1.0
88,5,7,0.0,0.99976
88,5,8,0.0,0.9996399999999999
88,5,9,0.0,0.9995999999999999
88,5,10,0.0,0.9995599999999998
88,5,11,0.0,0.9990399999999997
88,5,12,0.0,0.99848
88,5,13,0.0,0.99824
88,5,14,0.0,0.9972399999999996
88,5,15,0.0,0.9961999999999999
88,5,16,0.0,0.9953600000000002
88,5,17,0.0,0.9923599999999998
88,5,18,0.0,0.9905599999999999
88,5,19,0.0,0.9876799999999996
88,5,20,0.0,0.9841599999999999
88,5,21,0.0,0.9784800000000005
88,5,22,0.0,0.9713199999999996
88,5,23,0.0,0.9662000000000002
88,5,24,0.0,0.95848
88,5,25,0.0,0.9488000000000001
88,5,26,0.0,0.9352400000000003
88,5,27,0.0,0.9243199999999999
88,5,28,0.0,0.9092399999999999
88,5,29,0.0,0.8992
88,5,30,0.0,0.87344
88,5,31,0.0,0.8577600000000003
88,5,32,0.0,0.8378000000000001
88,5,33,0.0,0.8087999999999996
88,5,34,0.0,0.7894799999999997
