Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
19.54999999999995,0.94235,0.023371,0.000495
19.59999999999995,0.942057,0.023272,0.000526
19.649999999999952,0.941764,0.022975,0.00057
19.699999999999953,0.941471,0.022975,0.00061
19.74999999999995,0.941176,0.022876,0.000635
19.79999999999995,0.940881,0.02248,0.000656
19.84999999999995,0.940585,0.022183,0.000687
19.89999999999995,0.940288,0.021985,0.000721
19.94999999999995,0.939991,0.021787,0.000768
19.99999999999995,0.939693,0.021391,0.00082
20.04999999999995,0.939394,0.021193,0.000885
20.09999999999995,0.939094,0.021094,0.000932
20.14999999999995,0.938794,0.020896,0.000991
20.19999999999995,0.938493,0.020599,0.001025
20.24999999999995,0.938191,0.020401,0.001065
20.299999999999947,0.937889,0.020104,0.001121
20.349999999999948,0.937586,0.020005,0.001173
20.39999999999995,0.937282,0.020005,0.001217
20.44999999999995,0.936977,0.020005,0.001285
20.49999999999995,0.936672,0.020005,0.001362
20.549999999999947,0.936366,0.019807,0.00143
20.599999999999948,0.93606,0.019609,0.001511
20.64999999999995,0.935752,0.01951,0.001588
20.699999999999946,0.935444,0.019114,0.001653
20.749999999999947,0.935135,0.018817,0.001731
20.799999999999947,0.934826,0.018619,0.001817
20.849999999999948,0.934515,0.018322,0.001898
20.89999999999995,0.934204,0.018223,0.001994
20.949999999999946,0.933893,0.018025,0.002093
20.999999999999947,0.93358,0.017728,0.00217
21.049999999999947,0.933267,0.017561,0.002251
21.099999999999945,0.932954,0.017295,0.002381
21.149999999999945,0.932639,0.017196,0.002529
21.199999999999946,0.932324,0.017097,0.002656
21.249999999999947,0.932008,0.016899,0.002759
21.299999999999947,0.931691,0.0168,0.002867
21.349999999999945,0.931374,0.016701,0.002969
21.399999999999945,0.931056,0.016602,0.003102
21.449999999999946,0.930737,0.016305,0.003207
21.499999999999943,0.930418,0.01604,0.003402
21.549999999999944,0.930097,0.015644,0.003542
21.599999999999945,0.929776,0.015446,0.003749
21.649999999999945,0.929455,0.015347,0.003929
21.699999999999946,0.929133,0.01505,0.004155
21.749999999999943,0.92881,0.014851,0.004322
21.799999999999944,0.928486,0.014455,0.004505
21.849999999999945,0.928161,0.014257,0.004709
21.89999999999994,0.927836,0.014059,0.004926
21.949999999999942,0.92751,0.013861,0.005161
21.999999999999943,0.927184,0.013366,0.005402
22.049999999999944,0.926857,0.013267,0.005632
22.099999999999945,0.926529,0.013168,0.005885
22.14999999999994,0.9262,0.01297,0.006142
22.199999999999942,0.925871,0.012871,0.006393
22.249999999999943,0.925541,0.012574,0.006635
22.29999999999994,0.92521,0.012178,0.006932
22.34999999999994,0.924878,0.01198,0.00718
22.39999999999994,0.924546,0.01198,0.007452
22.449999999999942,0.924213,0.011881,0.007793
22.499999999999943,0.92388,0.011683,0.008059
22.54999999999994,0.923545,0.011485,0.008446
22.59999999999994,0.92321,0.011386,0.008783
22.64999999999994,0.922875,0.011287,0.009139
22.69999999999994,0.922538,0.010792,0.00948
